tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated
1336765607887446018,  My pick for the last lecture of global history--the single most important change in the world between when i was a college…,2,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607887433734, Hopefully Arthur Blank's hiring firm takes a close look at those names.,0,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607828729858,  We are scoring nothing less than 3 goals today.We are Realmadrid We are Gargantuan,38,0,Twitter for Android,2020-12-09 20:12:11
1336765607824461825,well cuz i want dior  ,0,0,Twitter for Android,2020-12-09 20:12:11
1336765607816159235,"  ""Rightio then, i'll be having that"" ",7,0,Twitter for Android,2020-12-09 20:12:11
1336765607816130561,ok im done sry,0,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607807741957,"  guys,,,PLEASE? ",0,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607799353352,  Oh shit. The Derriere Detective is here ,87,0,Twitter for Android,2020-12-09 20:12:11
1336765607795175426,    Laportes 3rd,0,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607795167232,"  For advice on all the latest aps and games your kids are using, explore  a free resource created by  and ",19,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607765635072, to the bulls for satoransky,4972,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607749046273,  It's  of our   All you have to do  this post &amp; FOLLOW us for a chance to enter our raffle a…,0,0,Twitter Web App,2020-12-09 20:12:11
1336765607749038081,If she’s hot and single you need to ask her what kind of crazy she is,45019,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607748972560,You feel perfectly poised to be the voice of reason today -- a... More for Cancer ,18983,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607748972545, I was so confused lol i was like hold up how am I not following her,0,0,Twitter Web App,2020-12-09 20:12:11
1336765607740583936,If anyone speaks to me just because you’re scared I will off myself. Do me a favour and fuck right off.,0,0,Twitter Web App,2020-12-09 20:12:11
1336765607736467459,   Ashley Walters &amp; Kano confirm filming for new season of Top Boy has begun  ,0,0,Twitter for Android,2020-12-09 20:12:11
1336765607736463362,  take some time out your day to experience joy in some way,3,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607736438784,its been two months since bly manor.... no im not over them and no i still have NOT moved on yes im still a mess ,0,0,Twitter for Android,2020-12-09 20:12:11
1336765607728050180,"  Sweden puts an end to its COVID-19 experiment.The country took a fairly hands-off approach since March, but the lates…",0,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607728001025,  Introverts after telling  you you they're on their way ,0,0,Twitter for Android,2020-12-09 20:12:11
1336765607711223808,  Looting Loeffler is so mad about this ad she threatened to sue us to take it off the air. Unfortunately for her she only m…,258,0,Twitter for iPhone,2020-12-09 20:12:11
