tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated
1336765607887446018,RT @PastPostcard: We had a drive round tonight. https://t.co/JbkJaT8DeA,2,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607887433734,"I didn’t have “Cartoon Network campaigning against systemic racism through Tik Tok” on my bingo card, but I like it https://t.co/RCbfafWSop",0,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607828729858,RT @Ask4Capital: Need money for your business or startup? Let us know how much you need and we will do everything we can to get it for you!…,38,0,Twitter for Android,2020-12-09 20:12:11
1336765607824461825,@Kadi_R1 You're just scared!!! 😂😂I would beat you in my sleep.. your Friday never comes SMH.. tuma weak threats,0,0,Twitter for Android,2020-12-09 20:12:11
1336765607816159235,"RT @nwankwoesq: The Stage is getting set for ABA FASHION WEEK 2020....

It’s happening live at LUXURYCITY HOTELS, ABA 

This is what you ge…",7,0,Twitter for Android,2020-12-09 20:12:11
1336765607816130561,I love red,0,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607807741957,@lornarichardson ‘Are puns’??? Such as more like.,0,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607799353352,"RT @pvpoke: Good morning, 
@PokemonGoApp
! Community Day is in 3 days. However, our Shadow Pokemon have been stuck with Frustration since J…",87,0,Twitter for Android,2020-12-09 20:12:11
1336765607795175426,@NotVisionFN @SequenceSect build pullout 😍,0,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607795167232,RT @myunclesmemes: Takes skill https://t.co/xBF5RdyUEC,19,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607765635072,"RT @CodeMonkeyZ: Why did Michigan State Representative Cynthia Johnson present TRIBUTES to the Chinese Consul General in Chicago?

What is…",4972,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607749046273,@gilmoreport sounds good. thanks,0,0,Twitter Web App,2020-12-09 20:12:11
1336765607749038081,RT @badmamiiiii: i’m both https://t.co/MYZakN8gPj,45019,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607748972560,"RT @muglerize: ellie goldstein for allure’s digital cover story “the beauty of accessibility” december 2020, by vicki king https://t.co/zM2…",18983,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607748972545,"He stays there, watching, long after the shuttle has disappeared from view.",0,0,Twitter Web App,2020-12-09 20:12:11
1336765607740583936,was going to play hades for my vast audience but instead i will be playing the game in this video as it's the bette… https://t.co/xHB88N8UG0,0,0,Twitter Web App,2020-12-09 20:12:11
1336765607736467459,@MADRlDISTAS M I L A G R E,0,0,Twitter for Android,2020-12-09 20:12:11
1336765607736463362,"RT @_yasashi: hello friends! so im selling these unused #swiitchbeauty pieces :)

#ActualCheekbones
customizable contour powder
shade: ligh…",3,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607736438784,"#YEOSANG : 31 seconds of my smile

@ATEEZofficial https://t.co/q6aoIrcw4S",0,0,Twitter for Android,2020-12-09 20:12:11
1336765607728050180,@xluisaaaxo Played literally last week,0,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607728001025,@Chiakicoladaa My trans users will be safe and doted opun.,0,0,Twitter for Android,2020-12-09 20:12:11
1336765607711223808,"RT @sfpelosi: #BREAKING — It’s Official! 

50 States and DC have certified their presidential election results. @JoeBiden WON with 306 Elec…",258,0,Twitter for iPhone,2020-12-09 20:12:11
1336765607706906624,@BETTER0TB indeed,0,0,Twitter for Android,2020-12-09 20:12:11
1336765607702900737,Right?? Lol https://t.co/cvGwdLp8ci,0,0,Twitter for Android,2020-12-09 20:12:11
1336765607702892544,@paigefran Everyone needs to know about Shaq 😂,0,0,Twitter for iPhone,2020-12-09 20:12:11
